slug,product_name,image_url_1,image_url_2,image_url_3,Has Variants
1-x-8-hdmi-splitter-with-4k-ultra-hd-full-resolution-1080p-with-3d-support-with-,"1 X 8 HDMI Splitter with 4K Ultra HD Full Resolution, 1080P with 3D Support, with Power Adapter",https://m.media-amazon.com/images/I/51D2ZhCm-gL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/51IDeyFmBSL._AC_.jpg,https://m.media-amazon.com/images/I/41Z0jmycvFL._AC_.jpg,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-black,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (BLACK),https://m.media-amazon.com/images/I/517Mk+Tr3aL._AC_SL1200_.jpg,,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-pink,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PINK),https://m.media-amazon.com/images/I/41HmlOKaZBL._AC_SL1200_.jpg,,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-purple,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PURPLE),https://m.media-amazon.com/images/I/4119Uipd6iL._AC_SY300_SX300_QL70_ML2_.jpg,,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-turquoise,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (TURQUOISE),https://m.media-amazon.com/images/I/41wTapNRvUL._AC_SY450_.jpg,,,
12l-stainless-steel-vacuum-tumbler-cup-baby-blue,1.2L STAINLESS STEEL VACUUM TUMBLER CUP - BABY BLUE,https://m.media-amazon.com/images/I/61MtlyoYTaL._AC_.jpg,,,
12l-stainless-steel-vacuum-tumbler-cup-lime-green-white,1.2L STAINLESS STEEL VACUUM TUMBLER CUP - LIME GREEN & WHITE,https://m.media-amazon.com/images/I/51rNmuctjGL._AC_.jpg,,,
18m-uhd-universal-usb-type-c-to-hdmi-am-cable-usb-c-to-display-port-4k-multifunc,"1.8m UHD UNIVERSAL USB TYPE-C to HDMI AM CABLE, USB C TO DISPLAY PORT 4K, MULTIFUNCTIONAL DATA CABLE",https://m.media-amazon.com/images/I/71UYBOQeGIL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71ZDxARXAhL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81cs6E3h79L._AC_SL1500_.jpg,
10-000mah-portable-power-bank-carbon-fibre-design-led-battery-indicator-black,"10 000mAh Portable Power Bank, Carbon Fibre Design, LED Battery Indicator, Black",https://m.media-amazon.com/images/I/51gtA4TE66L._AC_SL1080_.jpg,https://m.media-amazon.com/images/I/61w4U3x7uCL._AC_SL1080_.jpg,https://m.media-amazon.com/images/I/61F5rPp2-8L._AC_SL1080_.jpg,
10-bar-5-sided-ceramic-electric-heater-qhs10,10 BAR 5-SIDED CERAMIC ELECTRIC HEATER - QHS10,https://m.media-amazon.com/images/I/6111IxJz-BL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/61PA4lSJzGL._AC_SL1500_.jpg,,
10-rgb-led-soft-ring-light-with-tripod-stand-phone-holder-with-40-color-changing,10'' RGB LED SOFT RING LIGHT WITH TRIPOD STAND & PHONE HOLDER - WITH 40 COLOR CHANGING SCHEME,https://m.media-amazon.com/images/I/71wzNKdwgEL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/614cqUg2fdL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71ytS3qF4nL._AC_SL1200_.jpg,
1080p-2mp-color-view-bullet-surveillance-camera-full-colour-night-vision-20m-out,"1080p 2MP Color View Bullet Surveillance Camera, Full colour night vision 20m outdoor",https://m.media-amazon.com/images/I/41D-QmbmepL._AC_.jpg,https://m.media-amazon.com/images/I/61OC-nLYjwL._AC_SL1500_.jpg,,
10w-led-ultra-quiet-mosquito-and-fly-trap-energy-saving-power-saving,10W LED ULTRA QUIET MOSQUITO AND FLY TRAP ENERGY-SAVING & POWER-SAVING,https://m.media-amazon.com/images/I/31fNkc3N66L._AC_.jpg,https://m.media-amazon.com/images/I/71F+QyEPdTL._AC_SL1500_.jpg,,
10w-solar-wireless-recgargeable-speaker-with-torch-hf-f81,10W SOLAR WIRELESS RECGARGEABLE SPEAKER WITH TORCH - HF-F81,https://m.media-amazon.com/images/I/31FE3QEIRaL._AC_.jpg,https://m.media-amazon.com/images/I/41ca0MkbphL._AC_.jpg,,
115-in-1-tool-set-for-nintendo-switchps4ps5xbox-series,115 in 1 TOOL SET FOR NINTENDO SWITCH/PS4/PS5/XBOX SERIES,https://m.media-amazon.com/images/I/61KberO+zkL._AC_.jpg,https://m.media-amazon.com/images/I/71sUyws6J-L._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/51jSmUHxUEL._AC_.jpg,
12-digit-solar-electric-calculator-with-240-functions,12 DIGIT SOLAR ELECTRIC CALCULATOR WITH 240 FUNCTIONS,https://m.media-amazon.com/images/I/51IOPdNcmYL._AC_.jpg,https://m.media-amazon.com/images/I/51gzN9sNrXL._AC_SL1074_.jpg,https://m.media-amazon.com/images/I/51lRoh5P9vL._AC_SL1091_.jpg,
12v-15a-intelligent-pulse-charger,12V 15A Intelligent Pulse Charger,https://m.media-amazon.com/images/I/41PqsoRkW0L._AC_.jpg,https://m.media-amazon.com/images/I/31L0+sVX-+L._AC_.jpg,,
13-piece-pink-cookware-set-with-glass-lids-non-stick-coating-includes-pots-fryin,"13-Piece Pink Cookware Set with Glass Lids, Non-Stick Coating, Includes Pots, Frying Pan, Kitchen Utensils",https://m.media-amazon.com/images/I/619zoxFNpOL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/41RzBtjHPnL._AC_.jpg,https://m.media-amazon.com/images/I/41CNm32E8QL._AC_.jpg,
15m-sprial-hose-with-5-functions,15M Sprial Hose with 5 Functions,https://m.media-amazon.com/images/I/51kyw-micsL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/511TYdOvzkL._AC_SL1000_.jpg,,
16-childrenss-lcd-erasable-and-reusable-doodle-writing-tablet-set-of-3,"16"" CHILDRENS'S LCD ERASABLE AND REUSABLE DOODLE WRITING TABLET - SET OF 3",https://m.media-amazon.com/images/I/71YEaqLTwHL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71tVS+1b0YL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81uHSIyIMwL._AC_SL1500_.jpg,
2-bar-ceramic-electric-heater-dgm-qhr47,2 BAR CERAMIC ELECTRIC HEATER - DGM-QHR47,https://m.media-amazon.com/images/I/51jv5lVT0CL._AC_.jpg,,,
2-usb-auto-id-car-charger-adapter-24a-tc-03,2 USB AUTO-ID CAR CHARGER ADAPTER - 2.4A - TC-03,https://m.media-amazon.com/images/I/61Muh1RUdCL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61S8hBsXGnL._AC_SL1446_.jpg,,
2-in-1-bluetooth-transmitter-and-receiver-wireless-audio-adapter-35mm-aux-and-ty,"2-in-1 Bluetooth Transmitter and Receiver, Wireless Audio Adapter, 3.5mm AUX and Type-C, Bluetooth 5.3 Technology, Dual-Link Connectivity",https://m.media-amazon.com/images/I/51BHYQk4QjL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61WtAOERtCL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/71FEZz+XH7L._AC_SL1500_.jpg,
2-layer-dish-drainer,2-LAYER DISH DRAINER,https://m.media-amazon.com/images/I/51jTvYAWZPL._AC_.jpg,https://m.media-amazon.com/images/I/51kZZ86WFgL._AC_.jpg,https://m.media-amazon.com/images/I/51J8oyH1WuL._AC_.jpg,
20-led-solar-powered-led-wall-light-with-pir-sensor-cds-night-sensor-set-of-6,20-LED SOLAR POWERED LED WALL LIGHT with PIR SENSOR + CDS NIGHT SENSOR - SET OF 6,https://m.media-amazon.com/images/I/61J+ct+xP-L._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/61F6OK82kxL._AC_SL1000_.jpg,https://m.media-amazon.com/images/I/51sMOSa95OL._AC_SL1000_.jpg,
201w-sign-led-dc-12v-3-smd-module-waterproof-super-bright-warm-white,20×1W SIGN LED DC 12V 3 SMD MODULE WATERPROOF SUPER BRIGHT - WARM WHITE,https://m.media-amazon.com/images/I/61RZPM8n7FL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/61LLx4vcvgL._AC_SL1200_.jpg,https://m.media-amazon.com/images/I/51yDwl8sCtL._AC_.jpg,
20x30cm-bamboo-cutting-board-with-metal-ring-natural-wood-kitchen-chopping-board,"20x30cm Bamboo Cutting Board with Metal Ring, Natural Wood Kitchen Chopping Board, Rectangular",https://m.media-amazon.com/images/I/51uhwE-jVRL._AC_SL1393_.jpg,https://m.media-amazon.com/images/I/51R2WSf-W8L._AC_.jpg,,
