id,name,slug,category,retail_price,bulk_price,bulk_min_qty,has_thumbnail,variant_group_id,variant_label
33ea2cb5-dc38-4ba5-a0b3-038c3e63787a,NA-46 Vehicle Park Light Bulb,na-46-vehicle-park-light-bulb,Automobile,70.0,35.0,500,yes,,
25979d46-5a02-4498-98f9-70a4ba6f978b,C15-40-2 Spray Gun 4-Piece Set,c15-40-2-spray-gun-4-piece-set,Tools,50.0,25.0,65,yes,,
9a3c583e-03aa-4ed3-8a98-92b80bcb9d49,2202 5W Mini Hair Clipper,2202-5w-mini-hair-clipper,Accessories,110.0,55.0,120,yes,,
92966a47-d766-4f7e-9273-ab846896cb28,Battery Mate 12V LED Digital Battery and Alternator Tester with Status Indicators,battery-mate-12v-led-digital-battery-and-alternator-tester-with-status-indicator,Accessories,189.0,,,yes,,
d927f55f-e75c-4d70-ac8f-7517e73d0254,cg,cg,CCTV,80.0,40.0,5,yes,,
2e6c0589-1395-4353-a89c-c6b356a84efa,"50W LED Floodlight, IP66 Waterproof, White and Warm White Colour with Blue & Red Flashlight",50w-led-floodlight-ip66-waterproof-white-and-warm-white-colour-with-blue-red-fla,Accessories,599.0,,,yes,,
3622dc80-20d3-4cad-bdfa-1cd823300c6b,"Bamboo Cooking Utensil Set of 3, Spatula and Slotted Turner, Natural Wood Colour, with Hanging Hole",bamboo-cooking-utensil-set-of-3-spatula-and-slotted-turner-natural-wood-colour-w,Accessories,59.0,,,yes,,
1ebe30aa-cf46-4eb3-a89e-3d92557914f5,4x400mm White Cable Ties Pack,4x400mm-white-cable-ties-pack,Tools,24.0,12.0,150,yes,f2df63b6-2b0a-4480-b0cb-e8ff380b9331,White
6995929e-d546-49b0-8461-bcf5bbd48ef7,"Solar LED Wall Light with Motion Sensor, Decorative Pattern Design, Black",solar-led-wall-light-with-motion-sensor-decorative-pattern-design-black,Solar,399.0,,,yes,,
2057b0a6-4e06-48d6-9fb3-8a296d50c7da,"85mm Spiky Sensory Balls, Multicolor, Soft Rubber, Textured Fidget Toys, Stress Relief - SET OF 12",85mm-spiky-sensory-balls-multicolor-soft-rubber-textured-fidget-toys-stress-reli,Accessories,199.0,,,yes,,
39688250-b621-4dc1-a6eb-3685fe2b74bd,7.5L COOLING AND WARMING REFRIGERATOR,75l-cooling-and-warming-refrigerator,Accessories,685.0,,,yes,,
8b090001-02fc-422c-bd3c-7b61f75c6dc5,4x500mm White Cable Ties Pack,4x500mm-white-cable-ties-pack,Tools,32.0,16.0,120,yes,edf38b62-e501-4c35-a399-717ae7ec2890,White
a0ffd400-03fc-4dc2-8e7f-93775c0e0a83,4x300mm White Cable Ties Pack,4x300mm-white-cable-ties-pack,Tools,16.0,8.0,200,yes,795013f3-386c-4bc0-b446-3ec24662555d,White
bca6a13e-7ca1-43cf-b7fc-33cd5a5b1c69,GW-6568 Hair Dryer 6000W,gw-6568-hair-dryer-6000w,Accessories,176.0,88.0,40,yes,,
ece2888a-5a20-4b64-9a19-d68ce1e1eaf2,C16-40-38 4x200mm Black Cable Ties Pack,c16-40-38-4x200mm-black-cable-ties-pack,Tools,12.0,6.0,300,yes,0c867ec8-dbc1-4668-a80a-29b5fc75139a,Black
a449af44-76fe-42a4-bc1b-a91b5f76574c,C15-40-39 4x300mm Black Cable Ties Pack,c15-40-39-4x300mm-black-cable-ties-pack,Tools,17.0,8.5,200,yes,795013f3-386c-4bc0-b446-3ec24662555d,Black
8de920cd-a511-402f-b705-b212c3f53e6b,C16-40-101 4x400mm Black Cable Ties Pack,c16-40-101-4x400mm-black-cable-ties-pack,Tools,24.0,12.0,150,yes,f2df63b6-2b0a-4480-b0cb-e8ff380b9331,Black
6d2e92bf-d9d3-4a8d-a4c0-756ac9cc74c6,C16-40-102 4x500mm Black Cable Ties Pack,c16-40-102-4x500mm-black-cable-ties-pack,Tools,32.0,16.0,120,yes,edf38b62-e501-4c35-a399-717ae7ec2890,Black
00b8787f-8ced-4c48-8a18-4aad7f61ca6b,4x200mm White Cable Ties Pack,4x200mm-white-cable-ties-pack,Tools,11.0,5.5,300,yes,0c867ec8-dbc1-4668-a80a-29b5fc75139a,White
b16950c5-54f3-4c1b-a793-7f699e60c992,6'' TURBO FLEX 360 DEGREE FAUCET SPRAYER,6-turbo-flex-360-degree-faucet-sprayer,Accessories,250.0,,,yes,,
58876661-9207-4941-92ba-69104e79ea67,8W LED ULTRA QUIET MOSQUITO AND FLY TRAP ENERGY-SAVING & POWER-SAVING,8w-led-ultra-quiet-mosquito-and-fly-trap-energy-saving-power-saving,Accessories,599.0,,,yes,,
f9e5cb28-8dbc-4558-a9fe-7db7784ca488,HK59 Mini Fan,hk59-mini-fan,Household,46.0,23.0,144,yes,,
3658d0ff-bc27-43bf-acc1-d08314c455ce,5m LED Solar Powered Outdoor Hanging Bulb Socket String Lights Warm White - 10-Bulb,5m-led-solar-powered-outdoor-hanging-bulb-socket-string-lights-warm-white-10-bul,Solar,499.0,,,yes,,
2f962edd-156e-47bf-8ed2-0be5cdd6dc14,4 SLOT SMART BATTERY CHARGER - HD-8992C,4-slot-smart-battery-charger-hd-8992c,Chargers,380.0,,,yes,,
78d9dc11-de70-4ace-ac46-616113908952,C15-40-37 4x100mm Black Cable Ties Pack,c15-40-37-4x100mm-black-cable-ties-pack,Tools,7.6,3.8,500,yes,0a909408-23f6-4b4a-b201-31cb29904b94,Black
1fabaf72-fbb6-41bb-bf61-49871abe8499,C15-40-34 4x100mm White Cable Ties Pack,c15-40-34-4x100mm-white-cable-ties-pack,Tools,7.0,3.5,500,yes,0a909408-23f6-4b4a-b201-31cb29904b94,White
88ff67e0-c430-4eb0-b802-3b7165d10347,GW-9862 Coloured Hair Clipper,gw-9862-coloured-hair-clipper,Accessories,70.0,35.0,100,yes,,
10b8bf2d-9f67-410c-bcf3-92b14c6e3aad,XY SOLAR INTERACTION RECHARGEABLE WALL LAMP,xy-solar-interaction-rechargeable-wall-lamp,Solar,280.0,,,yes,,
48a5b361-c1f2-45d8-8320-cb3b43506328,SPLIT SOLAR TRIPLE HEAD WALL LIGHT - FL-1725A,split-solar-triple-head-wall-light-fl-1725a,Solar,489.0,,,yes,,
9660c823-24d2-4ce8-9800-00aed340f4a3,5-layer Portable Rolling Storage Rack on Wheels - 105cm - WHITE,5-layer-portable-rolling-storage-rack-on-wheels-105cm-white,Accessories,799.0,,,yes,11111111-0003-0003-0003-000000000003,White
1f8c517d-e18a-48cf-972a-7296f7e47171,12 DIGIT SOLAR ELECTRIC CALCULATOR WITH 240 FUNCTIONS,12-digit-solar-electric-calculator-with-240-functions,Solar,199.0,,,yes,,
26a879b0-3f3d-4753-ab50-441dfc4fa712,NA-73 Round Daytime Running Light (DRL),na-73-round-daytime-running-light-drl,Automobile,64.0,32.0,300,yes,,
9b5b836b-fd11-4213-b353-664a83555a17,"50 Pieces Air Fryer Paper Sheets for Air Fryer Non Stick for Oven, Air Fryer, Baking",50-pieces-air-fryer-paper-sheets-for-air-fryer-non-stick-for-oven-air-fryer-baki,Accessories,171.0,,,yes,,
5025a4ec-8b64-4e82-9f28-9110931039ed,"Solar Powered Rechargeable Fan with LED Light, Portable Table Fan with Solar Panel, White and Green",solar-powered-rechargeable-fan-with-led-light-portable-table-fan-with-solar-pane,Solar,899.0,,,yes,,
fa9b81ed-8b52-4d09-8410-f8798e873afc,CXT5-3014-2 T5 Vehicle Park Light Bulb,cxt5-3014-2-t5-vehicle-park-light-bulb,Automobile,12.0,6.0,500,yes,,
af7488b6-3e4f-496b-a704-74cad55ddf4a,"Hand Riveter, 4.8mm Size",hand-riveter-48mm-size,Accessories,190.0,,,yes,,
d77deea7-272c-4d4f-9220-a2247f0ab0e3,EAGLE VALUE ANTI-THEFT VEHICLE ALARM SYSTEM,eagle-value-anti-theft-vehicle-alarm-system,CCTV,699.0,,,yes,,
d22f17f5-bd88-478e-9a54-66c59290793a,"5M LED Star Fairy Lights, Multi-Colour, Decorative Holiday Lightin - SET OF 6",5m-led-star-fairy-lights-multi-colour-decorative-holiday-lightin-set-of-6,Accessories,499.0,,,yes,,
d3772b6d-07f2-4c99-8a0f-70ca044494ec,Fake Dummy Waterproof IR LED Security Camera,fake-dummy-waterproof-ir-led-security-camera,CCTV,199.0,,,yes,,
