slug,product_name,image_url_1,image_url_2,image_url_3
2202-5w-mini-hair-clipper,2202 5W Mini Hair Clipper,https://wahlusa.com/media/catalog/product/7/9/79434_-_rechargeable_cord_cordless.hero.jpg,,
gf588-hair-clipper,GF588 Hair Clipper,https://wahlusa.com/media/catalog/product/7/9/79434_-_rechargeable_cord_cordless.hero.jpg,,
gw-9736-hair-clipper,GW-9736 Hair Clipper,https://cdn-andiswebcontent.azureedge.net/production/images_and_docs/products/40000-incred-cordless-clipper-clc-4-straight-1-web.png,,
gw-9781-gold-hair-clipper,GW-9781 Gold Hair Clipper,https://wahlusa.com/media/catalog/product/7/9/79600-3301-lithiumpro.pt01_n0wdkf17zhtdwga4.jpg,,
gw-9862-coloured-hair-clipper,GW-9862 Coloured Hair Clipper,https://wahlusa.com/media/catalog/product/3/0/3025769_-_cordless_color_pro.hero.jpg,,
t9-professional-hair-clipper,T9 Professional Hair Clipper,https://cdn-andiswebcontent.azureedge.net/production/images_and_docs/products/40000-incred-cordless-clipper-clc-4-straight-1-web.png,,
vbt0812-hair-clipper,VBT0812 Hair Clipper,https://wahlusa.com/media/catalog/product/7/9/79434_-_rechargeable_cord_cordless.hero.jpg,,
vbt0813-hair-clipper,VBT0813 Hair Clipper,https://wahlusa.com/media/catalog/product/7/9/79434_-_rechargeable_cord_cordless.hero.jpg,,
vintage-t9-hair-clipper,Vintage T9 Hair Clipper,https://wahlusa.com/media/catalog/product/7/9/79300-1001m_-_color_pro.hero.jpg,,
gw-professional-hair-clipper-with-lcd-display-4-guide-combs-usb-rechargeable-cle-1,GW Professional Hair Clipper LCD Display,https://cdn-andiswebcontent.azureedge.net/production/images_and_docs/products/562924-incred-cordless-clipper-silver-clc-4-straight.webp,,
gw-002-hair-straightener,GW-002 Hair Straightener,https://images.philips.com/is/image/philipsconsumer/61138bb9b2c345bba7a9ae77013fc51a?wid=700&hei=700,,
gw-2215-hair-straightener,GW-2215 Hair Straightener,https://images.philips.com/is/image/philipsconsumer/0b3b5d1fbb1e4f1dbeb6ae78007fdf2c?wid=700&hei=700,,
gw-7696-hair-straightener,GW-7696 Hair Straightener,https://images.philips.com/is/image/philipsconsumer/61138bb9b2c345bba7a9ae77013fc51a?wid=700&hei=700,,
gw7669-hair-straightener-comb,GW7669 Hair Straightener Comb,https://tymobeauty.com/cdn/shop/files/HC100_TYMO_RING_hair_straightening_comb_sleek_design_product_main_image_all_11.webp?v=1754901392,,
gw-6568-hair-dryer-6000w,GW-6568 Hair Dryer 6000W,https://images.philips.com/is/image/philipsconsumer/9bef1f6d92fd46998943ae7c011e6411?wid=700&hei=700,,
gw-6576-hair-dryer-6000w,GW-6576 Hair Dryer 6000W,https://images.philips.com/is/image/philipsconsumer/9bef1f6d92fd46998943ae7c011e6411?wid=700&hei=700,,
gw-6650-hair-dryer-3000w,GW-6650 Hair Dryer 3000W,https://images.philips.com/is/image/philipsconsumer/06bcf80604664b5db27dae7d00c3cf6d?wid=700&hei=700,,
gw6558-3000w-hair-dryer,GW6558 3000W Hair Dryer,https://images.philips.com/is/image/philipsconsumer/06bcf80604664b5db27dae7d00c3cf6d?wid=700&hei=700,,
wg-662-hair-dryer-1000w,WG-662 Hair Dryer 1000W,https://images.philips.com/is/image/philipsconsumer/06bcf80604664b5db27dae7d00c3cf6d?wid=700&hei=700,,
