slug,product_name,image_url_1,image_url_2,image_url_3
10cm-ashtray,10cm Ashtray,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ash-tray/z/u/a/bar-home-glass-ash-tray-smoke-collectible-tribal-decoration-original-imahgmtzhsxzehsd.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/kwcfngw0/plate-tray-dish/5/z/t/round-crystal-glass-smoking-ashtray-clear-glass-ashtray-pack-of-original-imag9fn7pay6exjw.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/ash-tray/2/b/l/bar-home-ashtray-01-diyaan-ent-original-imagkccfenb6acak.jpeg?q=70
12cm-ashtray,12cm Ashtray,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ash-tray/z/u/a/bar-home-glass-ash-tray-smoke-collectible-tribal-decoration-original-imahgmtzhsxzehsd.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/kwcfngw0/plate-tray-dish/5/z/t/round-crystal-glass-smoking-ashtray-clear-glass-ashtray-pack-of-original-imag9fn7pay6exjw.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/ash-tray/2/b/l/bar-home-ashtray-01-diyaan-ent-original-imagkccfenb6acak.jpeg?q=70
180-degree-clip-fan-220v,180 Degree Clip Fan 220V,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/2/7/i/dd8057-symbelle-original-imahd6yvbxcnhwfy.jpeg,https://rukminim2.flixcart.com/image/612/612/xif0q/fan/i/w/2/rechargeable-portable-fan-with-180-degree-rotation-for-versatile-original-imah9cysckpvffnc.jpeg,
5-hole-air-cooler-fan,5-Hole Air Cooler Fan,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/k/r/3/aac-01-javinex-original-imahmybnczzrd5au.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/m/j/f/10280-dhanya-mart-original-imahg4k8tzrvbzmg.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/m/x/k/cf013-glarixa-original-imahd7fszpfqenmn.jpeg?q=70
6826a-mini-fan,6826A Mini Fan,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/g/q/y/portable-mini-hand-fan-with-3-speed-1200-mah-battery-usb-fan-original-imahhdvsntcgmxup.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/f/1/7/portable-mini-hand-fan-with-3-speed-1200-mah-battery-usb-fan-original-imahhh3fuk3bp5yj.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/t/d/w/fancyminifan-wonderwhimzy-original-imahmsf3fyjcwdba.jpeg?q=70
9l-air-conditioner-fan,9L Air Conditioner Fan,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/k/r/3/aac-01-javinex-original-imahmybnczzrd5au.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/m/j/f/10280-dhanya-mart-original-imahg4k8tzrvbzmg.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/m/x/k/cf013-glarixa-original-imahd7fszpfqenmn.jpeg?q=70
a30-portable-air-cooler-9l,A30 Portable Air Cooler 9L,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/k/r/3/aac-01-javinex-original-imahmybnczzrd5au.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/m/j/f/10280-dhanya-mart-original-imahg4k8tzrvbzmg.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/usb-gadget/m/x/k/cf013-glarixa-original-imahd7fszpfqenmn.jpeg?q=70
air-conditioner-30l,Air Conditioner 30L,https://rukminim2.flixcart.com/image/612/612/xif0q/air-cooler/e/9/7/100-0-px97-torque-new-36-bajaj-original-imahadwkshkkvgec.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/air-cooler/m/b/2/-original-imahkxvjvrg3rrmn.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/air-cooler/y/m/v/185-0-touch-35-35-symphony-original-imahktfsdyzf9qj2.jpeg?q=70
c15-20-1-duster-cloth,C15-20-1 Duster Cloth,https://rukminim2.flixcart.com/image/612/612/xif0q/cleaning-cloth/j/f/r/16-0-5-cleaning-cloth-5pieces-sangal-original-imahmn43sfmphunv.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/cleaning-cloth/6/f/x/16-0-5-972-klenvi-original-imahkugpbwqzgzhx.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/kdeum4w0/cleaning-cloth/k/g/c/floor-duster-microfiber-fine-cotton-large-cleaning-cloth-for-original-imafuay2wpnqpnbs.jpeg?q=70
c15-20-12-welcome-floor-mat,C15-20-12 Welcome Floor Mat,https://rukminim2.flixcart.com/image/612/612/xif0q/mat/1/o/h/large-smilepvc-1-ps249-floova-original-imahmrghc53ggxpy.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/mat/k/h/2/medium-green-welcome-door-mat-40x60-cm-indoor-outdoor-entrance-original-imahn86pxh857tvf.jpeg?q=70,https://rukminim2.flixcart.com/image/612/612/xif0q/mat/s/f/p/medium-welcome-door-mat-durable-outdoor-indoor-mat-with-cute-enriched-2-original-imahfwfhtufarxkw.jpeg?q=70
