slug,product_name,image_url_1,image_url_2,image_url_3
c15-25-19-foam-double-sided-mounting-tape-78cm,Foam Double-Sided Mounting Tape 7.8cm,https://target.scene7.com/is/image/Target/GUEST_6832cc8e-262f-43f5-b1c8-89c5c3e36615,https://target.scene7.com/is/image/Target/GUEST_de57336a-3a22-4076-9040-a763b36ab868,https://target.scene7.com/is/image/Target/GUEST_e6e11c7f-aa16-4754-9d60-cc327f0e49fe
c15-25-20-foam-double-sided-mounting-tape-2pc-92cm,Foam Double-Sided Mounting Tape 9.2cm,https://target.scene7.com/is/image/Target/GUEST_6832cc8e-262f-43f5-b1c8-89c5c3e36615,https://target.scene7.com/is/image/Target/GUEST_de57336a-3a22-4076-9040-a763b36ab868,https://target.scene7.com/is/image/Target/GUEST_fe9187d3-4ab9-4564-b3cf-7e28ca209235
c15-25-21-masking-tape-20m-x-45cm,Masking Tape 20m x 4.5cm,https://target.scene7.com/is/image/Target/GUEST_86963d42-1fa4-40cb-a32a-c2092e2ebaaa,https://target.scene7.com/is/image/Target/GUEST_56c288e8-6067-4f0e-b57a-45b2e7dc4b1b,https://target.scene7.com/is/image/Target/GUEST_c0f1a919-a188-4ef9-8971-50c6db292ab8
c15-25-22-masking-tape-20m-x-24cm-narrow,Masking Tape 20m x 2.4cm Narrow,https://target.scene7.com/is/image/Target/GUEST_56c288e8-6067-4f0e-b57a-45b2e7dc4b1b,https://target.scene7.com/is/image/Target/GUEST_86963d42-1fa4-40cb-a32a-c2092e2ebaaa,https://target.scene7.com/is/image/Target/GUEST_93c54046-fdd4-4108-9850-838ccb5773d6
c15-25-23-nano-double-sided-tape-3m-x-18cm,Nano Double-Sided Tape 3m x 1.8cm,https://target.scene7.com/is/image/Target/GUEST_cdc68bb5-456a-4f60-84cd-9aa5859c7b4b,https://target.scene7.com/is/image/Target/GUEST_5019580f-a591-43fd-be09-1cf955f26313,https://target.scene7.com/is/image/Target/GUEST_e08c87b3-7d78-49f8-86a4-0e84fed50158
c15-25-24-nano-double-sided-mounting-tape-3m-x-3cm,Nano Double-Sided Tape 3m x 3cm,https://target.scene7.com/is/image/Target/GUEST_cdc68bb5-456a-4f60-84cd-9aa5859c7b4b,https://target.scene7.com/is/image/Target/GUEST_5019580f-a591-43fd-be09-1cf955f26313,
c15-25-3-50m-x-45cm-clear-packaging-tape,Clear Packaging Tape 50m,https://target.scene7.com/is/image/Target/GUEST_6cb40185-da7c-4470-912f-9a79c9048c85,https://target.scene7.com/is/image/Target/GUEST_53efb75b-012b-4bdc-8490-007645eac363,https://target.scene7.com/is/image/Target/GUEST_5353e991-cd19-4bb0-89d1-7069af6c0864
c15-25-4-100m-x-45cm-clear-packaging-tape,Clear Packaging Tape 100m,https://target.scene7.com/is/image/Target/GUEST_6cb40185-da7c-4470-912f-9a79c9048c85,https://target.scene7.com/is/image/Target/GUEST_348fd1d3-c5ca-4a17-80f5-ee0823291ad3,https://target.scene7.com/is/image/Target/GUEST_5353e991-cd19-4bb0-89d1-7069af6c0864
c15-25-5-200m-x-45cm-clear-packaging-tape,Clear Packaging Tape 200m,https://target.scene7.com/is/image/Target/GUEST_6cb40185-da7c-4470-912f-9a79c9048c85,https://target.scene7.com/is/image/Target/GUEST_348fd1d3-c5ca-4a17-80f5-ee0823291ad3,https://target.scene7.com/is/image/Target/GUEST_9bc16fe0-f8ac-4d4f-9a64-dd1c94621b04
c15-25-6-300m-x-45cm-clear-packaging-tape,Clear Packaging Tape 300m,https://target.scene7.com/is/image/Target/GUEST_6cb40185-da7c-4470-912f-9a79c9048c85,https://target.scene7.com/is/image/Target/GUEST_348fd1d3-c5ca-4a17-80f5-ee0823291ad3,https://target.scene7.com/is/image/Target/GUEST_9bc16fe0-f8ac-4d4f-9a64-dd1c94621b04
c15-25-26-electrical-insulation-tape-20-yard,Electrical Insulation Tape 20-Yard,https://target.scene7.com/is/image/Target/GUEST_e4d1df78-9ef6-470e-8c5a-7d4005dda664,,
c15-25-27-electrical-insulation-tape-10-yard,Electrical Insulation Tape 10-Yard,https://target.scene7.com/is/image/Target/GUEST_e4d1df78-9ef6-470e-8c5a-7d4005dda664,,
c15-25-28-electrical-insulation-tape-5-yard,Electrical Insulation Tape 5-Yard,https://target.scene7.com/is/image/Target/GUEST_e4d1df78-9ef6-470e-8c5a-7d4005dda664,,
c15-25-34-waterproof-flashing-tape-5m-x-5cm,Waterproof Flashing Tape 5m,https://target.scene7.com/is/image/Target/GUEST_acbdb1e4-d9fb-4435-991b-a68c96e01ba9,,
c15-25-35-waterproof-flashing-tape-10m-x-5cm,Waterproof Flashing Tape 10m,https://target.scene7.com/is/image/Target/GUEST_acbdb1e4-d9fb-4435-991b-a68c96e01ba9,,
c15-25-29-ab-epoxy-glue-10g,AB Epoxy Glue 10g,https://target.scene7.com/is/image/Target/GUEST_9bdd7232-5506-4d3a-8b82-b69620407fb8,,
c15-25-30-universal-contact-cement-glue,Universal Contact Cement Glue,https://target.scene7.com/is/image/Target/GUEST_f336af55-b0ea-4c32-873a-25e416531208,,
c15-25-31-super-glue-12-pack,Super Glue 12-Pack,https://target.scene7.com/is/image/Target/GUEST_71703bff-fa85-4463-a6f2-e81158a3e758,https://target.scene7.com/is/image/Target/GUEST_70b0b61c-e48a-47b3-be81-570e08dfd324,https://target.scene7.com/is/image/Target/GUEST_48a2d4c3-e0c0-476c-93fc-65a42277f6e0
c15-25-32-thin-hot-glue-sticks-10-pack-7mm,Thin Hot Glue Sticks 7mm,https://target.scene7.com/is/image/Target/GUEST_7827350c-dccf-4eab-ae93-7efc61dd9537,https://target.scene7.com/is/image/Target/GUEST_d7835081-b58e-4235-b590-697ffdcaa7a7,
c15-25-33-thick-hot-glue-sticks-5-pack-11mm,Thick Hot Glue Sticks 11mm,https://target.scene7.com/is/image/Target/GUEST_3606ca4a-2ce3-4a03-88a5-4a6b9a2daeaa,https://target.scene7.com/is/image/Target/GUEST_cd8c7fa1-c6c8-41ab-893d-b162744affe0,
c15-36-28-60mm-zhoushi-gold-padlock,60mm Gold Padlock,https://target.scene7.com/is/image/Target/GUEST_60ab2560-4281-45b5-8679-aa83343ef101,https://target.scene7.com/is/image/Target/GUEST_1d894129-b974-4354-a173-05a78b82b795,
c15-36-35-50mm-dikas-d60-silver-padlock,50mm Silver Padlock,https://target.scene7.com/is/image/Target/GUEST_51a2ad6b-87af-4ef1-b313-f5bf8ceb97f6,https://target.scene7.com/is/image/Target/GUEST_4e6a0a0f-103b-42b4-8ae6-269c8122ab7c,
c15-36-36-60mm-dikas-d60-silver-padlock,60mm Silver Padlock,https://target.scene7.com/is/image/Target/GUEST_51a2ad6b-87af-4ef1-b313-f5bf8ceb97f6,https://target.scene7.com/is/image/Target/GUEST_4e6a0a0f-103b-42b4-8ae6-269c8122ab7c,
c15-36-37-70mm-dikas-d70-silver-padlock,70mm Silver Padlock,https://target.scene7.com/is/image/Target/GUEST_51a2ad6b-87af-4ef1-b313-f5bf8ceb97f6,https://target.scene7.com/is/image/Target/GUEST_36384415-6fa4-4283-9f7e-0609dfa71194,
c15-36-5-baglock-dik-arc-shell-padlock-12-pack,Arc-Shell Padlock 12-Pack,https://target.scene7.com/is/image/Target/GUEST_51a2ad6b-87af-4ef1-b313-f5bf8ceb97f6,https://target.scene7.com/is/image/Target/GUEST_36384415-6fa4-4283-9f7e-0609dfa71194,
c15-37-1-cutting-blade-11-inch,Cutting Blade 1.1-Inch,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-2-cutting-blade-45-inch-180mm,Cutting Blade 4.5-Inch 180mm,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-3-cutting-blade-45-inch-230mm,Cutting Blade 4.5-Inch 230mm,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-10-wood-cutting-disc-40t-gl23010,Wood Cutting Disc 40T,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-11-wood-cutting-disc-30t-gl18010,Wood Cutting Disc 30T,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-12-diamond-disc-30t-115mm-gl11510,Diamond Cutting Disc 115mm (30T),https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-13-diamond-disc-115mm-gl11520,Diamond Cutting Disc 115mm,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-14-diamond-disc-180mm-gl18020,Diamond Cutting Disc 180mm,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-15-diamond-disc-230mm-gl23020,Diamond Cutting Disc 230mm,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,,
c15-37-4-sandpaper-60-grit,Sandpaper 60 Grit,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,https://target.scene7.com/is/image/Target/GUEST_fd76d068-e395-4f7c-b442-cf1941a7a619,
c15-37-5-sandpaper-80-grit,Sandpaper 80 Grit,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,https://target.scene7.com/is/image/Target/GUEST_fd76d068-e395-4f7c-b442-cf1941a7a619,
c15-37-6-sandpaper-120-grit,Sandpaper 120 Grit,https://target.scene7.com/is/image/Target/GUEST_7bb9b549-0ee0-46fe-9515-066466511222,https://target.scene7.com/is/image/Target/GUEST_fd76d068-e395-4f7c-b442-cf1941a7a619,
c15-37-7-abrasive-cloth-120-grit,Abrasive Cloth 120 Grit,https://target.scene7.com/is/image/Target/GUEST_26a8ae8d-aa19-4493-9a23-d06a0bf850e9,https://target.scene7.com/is/image/Target/GUEST_fd76d068-e395-4f7c-b442-cf1941a7a619,
c15-37-8-abrasive-cloth-100-grit,Abrasive Cloth 100 Grit,https://target.scene7.com/is/image/Target/GUEST_26a8ae8d-aa19-4493-9a23-d06a0bf850e9,https://target.scene7.com/is/image/Target/GUEST_fd76d068-e395-4f7c-b442-cf1941a7a619,
c15-37-9-abrasive-cloth-80-grit,Abrasive Cloth 80 Grit,https://target.scene7.com/is/image/Target/GUEST_26a8ae8d-aa19-4493-9a23-d06a0bf850e9,https://target.scene7.com/is/image/Target/GUEST_fd76d068-e395-4f7c-b442-cf1941a7a619,
c15-40-100-professional-fold-tool-set,Professional Fold Tool Set,https://target.scene7.com/is/image/Target/GUEST_0c9c6243-86e9-40f2-af88-e4577a477ba0,https://target.scene7.com/is/image/Target/GUEST_81e4121a-a99d-42ec-881f-2c5161f75eb9,
c15-40-3-spray-gun-4-piece-set,Spray Gun 4-Piece Set,https://target.scene7.com/is/image/Target/GUEST_2a5823bb-8c79-41d8-bc71-b808acbadfb3,,
