slug,product_name,store_url,image_source_note
"2202-5w-mini-hair-clipper,""2202 5W Mini Hair Clipper"",https://www.aliexpress.com/item/1005002399669318.html,USB rechargeable LCD barber hair clipper - close match for mini 5W clipper type"
"450ml-non-corrosive-professional-car-paint-remover,""450ml Non-Corrosive Professional Car Paint Remover"",https://www.aliexpress.com/w/wholesale-car-paint-remover.html,AliExpress category page for car paint remover"
"a005-bluetooth-speaker,""A005 Bluetooth Speaker"",https://www.aliexpress.com/item/32960781748.html,Portable mini wireless Bluetooth speaker with LED"
"c15-25-1-80x80-thermal-receipt-paper-roll,""C15-25-1 80x80 Thermal Receipt Paper Roll"",https://www.aliexpress.com/item/1005005300899301.html,Factory wholesale 80x80mm POS thermal receipt paper roll"
"c15-25-19-foam-double-sided-mounting-tape-78cm,""C15-25-19 Foam Double-Sided Mounting Tape 7.8cm"",https://www.aliexpress.com/item/32964128654.html,Super strong foam double-sided mounting tape - shared with foam tape variants"
"c15-25-2-57x40-thermal-receipt-paper-roll,""C15-25-2 57x40 Thermal Receipt Paper Roll"",https://www.aliexpress.com/item/1005001375868875.html,Thermal paper 57x40mm POS printer roll"
"c15-25-20-foam-double-sided-mounting-tape-2pc-92cm,""C15-25-20 Foam Double-Sided Mounting Tape 2pc 9.2cm"",https://www.aliexpress.com/item/32964128654.html,Foam double-sided tape - shared with foam tape variants"
"c15-25-21-masking-tape-20m-x-45cm,""C15-25-21 Masking Tape 20m x 4.5cm"",https://www.aliexpress.com/item/33005300314.html,20M buff masking tape 45mm wide"
"c15-25-22-masking-tape-20m-x-24cm-narrow,""C15-25-22 Masking Tape 20m x 2.4cm Narrow"",https://www.aliexpress.com/item/4000061158094.html,12/18/24mm masking tape 20m - shared with masking tape variants"
"c15-25-23-nano-double-sided-tape-3m-x-18cm,""C15-25-23 Nano Double-Sided Tape 3m x 1.8cm"",https://www.aliexpress.com/item/1005002846775473.html,Nano silicone reusable double-sided tape - shared with nano tape variants"
"c15-25-24-nano-double-sided-mounting-tape-3m-x-3cm,""C15-25-24 Nano Double-Sided Mounting Tape 3m x 3cm"",https://www.aliexpress.com/item/1005002846775473.html,Nano double-sided tape - shared with nano tape variants"
"c15-25-3-50m-x-45cm-clear-packaging-tape,""C15-25-3 50m x 4.5cm Clear Packaging Tape"",https://www.aliexpress.com/item/32346103312.html,Clear packaging tape 4.5cm x 50m roll - shared with clear tape variants"
"c15-25-36-5500-price-label-gun,""C15-25-36 5500 Price Label Gun"",https://www.aliexpress.com/item/758583380.html,MX 5500 pricing gun tagging labeller"
"c15-25-37-price-label-sticker-roll-500-labels,""C15-25-37 Price Label Sticker Roll 500 Labels"",https://www.aliexpress.com/item/32278013015.html,10 roll x 500 tags for MX 5500 label gun"
"c15-25-38-sticky-tape-set-3-roll-with-dispenser,""C15-25-38 Sticky Tape Set 3-Roll with Dispenser"",https://www.aliexpress.com/item/32917724496.html,Desktop roll tape holder/dispenser set - shared with tape dispenser variants"
"c15-25-39-desktop-tape-dispenser-8808,""C15-25-39 Desktop Tape Dispenser 8808"",https://www.aliexpress.com/item/32917724496.html,Desktop tape dispenser organizer - shared with tape dispenser variants"
"c15-25-4-100m-x-45cm-clear-packaging-tape,""C15-25-4 100m x 4.5cm Clear Packaging Tape"",https://www.aliexpress.com/item/32346103312.html,Clear packaging tape 4.5cm wide - shared with clear tape variants"
"c15-25-40-plastic-tape-dispenser-48cm,""C15-25-40 Plastic Tape Dispenser 4.8cm"",https://www.aliexpress.com/item/32917724496.html,Plastic tape dispenser - shared with tape dispenser variants"
"c15-25-5-200m-x-45cm-clear-packaging-tape,""C15-25-5 200m x 4.5cm Clear Packaging Tape"",https://www.aliexpress.com/item/32346103312.html,Clear packaging tape roll - shared with clear tape variants"
"c15-25-6-300m-x-45cm-clear-packaging-tape,""C15-25-6 300m x 4.5cm Clear Packaging Tape"",https://www.aliexpress.com/item/32346103312.html,Clear packaging tape roll - shared with clear tape variants"
"c15-27-1-pm-2006-pearl-max-708-razor-handle-set,""C15-27-1 PM-2006 Pearl Max 708 Razor Handle Set"",https://www.aliexpress.com/item/4001240575057.html,Metal handle double-edge safety razor shaving set - shared with razor handle variants"
"c15-27-2-pm-2002-pearl-max-green-comfort-razor-set,""C15-27-2 PM-2002 Pearl Max Green Comfort Razor Set"",https://www.aliexpress.com/item/4001240575057.html,Metal handle safety razor set - shared with razor handle variants"
"c15-27-3-pm-2603b-pearl-max-rubber-handle-disposable-razor-8-pack,""C15-27-3 PM-2603B Pearl Max Rubber-Handle Disposable Razor 8-Pack"",https://www.aliexpress.com/item/32924143691.html,Twin-blade disposable razor pack - shared with disposable razor variants"
"c15-27-4-pm-3004b-pearl-max-seahorse-3-blade-disposable-razor-3-pack,""C15-27-4 PM-3004B Pearl Max Seahorse 3-Blade Disposable Razor 3-Pack"",https://www.aliexpress.com/item/32924143691.html,Disposable 3-blade razor pack - shared with disposable razor variants"
"c15-27-5-pmd-007-pearl-max-double-edge-razor-blades-100-pack,""C15-27-5 PMD-007 Pearl Max Double-Edge Razor Blades 100-Pack"",https://www.aliexpress.com/item/32614349438.html,Double edge safety razor blades 100 pack"
