slug,product_name,image_url_1,image_url_2,image_url_3
1-x-8-hdmi-splitter-with-4k-ultra-hd-full-resolution-1080p-with-3d-support-with-,"1 X 8 HDMI Splitter with 4K Ultra HD Full Resolution, 1080P with 3D Support, with Power Adapter",,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-black,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (BLACK),,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-pink,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PINK),,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-purple,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (PURPLE),,,
12l-stainless-steel-tumbler-cup-wiith-straw-silicone-seal-turquoise,1.2L STAINLESS STEEL TUMBLER CUP WIITH STRAW & SILICONE SEAL (TURQUOISE),,,
12l-stainless-steel-vacuum-tumbler-cup-baby-blue,1.2L STAINLESS STEEL VACUUM TUMBLER CUP - BABY BLUE,,,
12l-stainless-steel-vacuum-tumbler-cup-lime-green-white,1.2L STAINLESS STEEL VACUUM TUMBLER CUP - LIME GREEN & WHITE,,,
18m-uhd-universal-usb-type-c-to-hdmi-am-cable-usb-c-to-display-port-4k-multifunc,"1.8m UHD UNIVERSAL USB TYPE-C to HDMI AM CABLE, USB C TO DISPLAY PORT 4K, MULTIFUNCTIONAL DATA CABLE",,,
10-000mah-portable-power-bank-carbon-fibre-design-led-battery-indicator-black,"10 000mAh Portable Power Bank, Carbon Fibre Design, LED Battery Indicator, Black",,,
10-bar-5-sided-ceramic-electric-heater-qhs10,10 BAR 5-SIDED CERAMIC ELECTRIC HEATER - QHS10,,,
10-rgb-led-soft-ring-light-with-tripod-stand-phone-holder-with-40-color-changing,10'' RGB LED SOFT RING LIGHT WITH TRIPOD STAND & PHONE HOLDER - WITH 40 COLOR CHANGING SCHEME,,,
1080p-2mp-color-view-bullet-surveillance-camera-full-colour-night-vision-20m-out,"1080p 2MP Color View Bullet Surveillance Camera, Full colour night vision 20m outdoor",,,
10w-led-ultra-quiet-mosquito-and-fly-trap-energy-saving-power-saving,10W LED ULTRA QUIET MOSQUITO AND FLY TRAP ENERGY-SAVING & POWER-SAVING,,,
10w-solar-wireless-recgargeable-speaker-with-torch-hf-f81,10W SOLAR WIRELESS RECGARGEABLE SPEAKER WITH TORCH - HF-F81,,,
115-in-1-tool-set-for-nintendo-switchps4ps5xbox-series,115 in 1 TOOL SET FOR NINTENDO SWITCH/PS4/PS5/XBOX SERIES,,,
12-digit-solar-electric-calculator-with-240-functions,12 DIGIT SOLAR ELECTRIC CALCULATOR WITH 240 FUNCTIONS,,,
12v-15a-intelligent-pulse-charger,12V 15A Intelligent Pulse Charger,,,
13-piece-pink-cookware-set-with-glass-lids-non-stick-coating-includes-pots-fryin,"13-Piece Pink Cookware Set with Glass Lids, Non-Stick Coating, Includes Pots, Frying Pan, Kitchen Utensils",,,
15m-sprial-hose-with-5-functions,15M Sprial Hose with 5 Functions,,,
16-childrenss-lcd-erasable-and-reusable-doodle-writing-tablet-set-of-3,"16"" CHILDRENS'S LCD ERASABLE AND REUSABLE DOODLE WRITING TABLET - SET OF 3",,,
2-bar-ceramic-electric-heater-dgm-qhr47,2 BAR CERAMIC ELECTRIC HEATER - DGM-QHR47,,,
2-usb-auto-id-car-charger-adapter-24a-tc-03,2 USB AUTO-ID CAR CHARGER ADAPTER - 2.4A - TC-03,,,
2-in-1-bluetooth-transmitter-and-receiver-wireless-audio-adapter-35mm-aux-and-ty,"2-in-1 Bluetooth Transmitter and Receiver, Wireless Audio Adapter, 3.5mm AUX and Type-C, Bluetooth 5.3 Technology, Dual-Link Connectivity",,,
2-layer-dish-drainer,2-LAYER DISH DRAINER,,,
